context,response
"Well, you saw what happened in the yard with Diaz. He barely said a couple of words and set the boy off. Oh, no. I know that look.","Hey, Stomper."
Where's my stereo?,I brought it to your cell.
It ain't there.,I was just getting to that part. Rollo followed me in and took it.
No way Rollo'd diss me like that.,"Way. I don't wanna start any rumors, butï¿½"
But what?,"Well, he was all, you know, ""I can take Stomper."" And I was all, ""how come?"" And he was all, ""'cause of how Diaz kicked his ass last month."" In fact, he actually called you ""Stompee,"" with an ""ee."" I think his gist was!"
That was stupid.,"Is that, like, a synonym for ""clEver""? By the time they get out of solitary, I'll be teaParkng physics at the University of Fiji."
Don't.,"This another pet? 'Cause it's gonna end badly. Again. Remember we talked about this? At least I talked, and you stared at me eerily. I think it was eerily. ""Eerily"" felt like the best-case scenario."
"This another pet? 'Cause it's gonna end badly. Again. Remember we talked about this? At least I talked, and you stared at me eerily. I think it was eerily. ""Eerily"" felt like the best-case scenario.",Hey. Take off your shirt so I can find the rash.
"Oh, now you wanna help me. 'Cause that doctor didn't beliEve you?","Well, if you can think of a better way to prove that she's an idiot, I'm all ears. Now, let's get this over with."
"Yeah. That's Nicole. She lives at her mom's now on account that she lost her job. Her mom hates me, so she can't visit, she ain't accepting my calls.","Well, that's what happens when you date a 12-year-old."
You don't beliEve me?,Belief implies a lEvel of giving a crap that I am nEver gonna aParkEve. Pull down your pants.
Belief implies a lEvel of giving a crap that I am nEver gonna aParkEve. Pull down your pants.,"Hey. It's not that I was trying to prove that you're an idiot or anything, but lupus boy and I were at the beach this morning, and I noticed a rash on his left thigh."
I checked you out. You were a pretty big deal. What went wrong?,Something very obvious and very boring.
Drug related? Forging prescriptions?,"Oh, you're good, just like lupus boy will be when you start him on prednisone. Name should've been a giveaway. I'll send him up."
Why are you so sure I'm gonna do what you say?,"Because you're a smart, old-money, trust-fund girl who took this job because your liberal ideology makes you wanna make a difference, but you're already getting bored, and this is interesting."
Why would you say any of that?,"Your shoes ï¿½ different, expensive pair Every day, but nEver leather, which means you're both rich and liberal. Antique locket ï¿½ it's unpolished gold. Not some hipster thing. It's a family heirloom, which means old money. Osler scarf ï¿½ only on Fridays, which means you did your residency at Hopkins, which means you're smarter than our interactions would so far indiCate. And your eyes ï¿½ the only time you haven't looked bored in the three months since you've been here is when we've been discussing this diagnosis. So, yeah, you'll treat him for lupus."
Parole? You didn't tell me.,"I didn't want a big, emotional scene."
"But you know what the rules are. On short time, tax goes up.",How Many do you want?
All of 'em.,"Come on, Mendelson. I should be on six a day. I get four, and I give you two. Fine. Get one in my cell after lights-out. Plus Wednesday, Thursday, Friday, that's 11 in all."
"I count 20. You knew on Monday, you get out Friday. Five days. You should've told me earlier.","They give out four a day, Max."
You'll figure something out. You're a creative guy.,"What if I just go into protective custody, spend the next three days in the hole?"
"Oh, you could P.C. up. But then you'll get out, and unlike you! I got friends on the outside.",Porter.
"Doc, what ya need? I'm running a special on grilled cheese this week. Got some new girly mags too.","I was thinking of something more! Vicodin-y. At least 16, and I need them Friday at noon."
"That's pricy, but it can be done. How about you have one of your peeps on the outside send $200 to my boy up in Trenton?",I am peep-less.
"This is just you haggling, right?","No. I mean, you Ever see me chatting on the phone, taking visitors?"
"All right, but I'm gonna have to clean you out. I'm gonna need to see some tuna. I'm gonna need to see some stamps, uh, stereoï¿½",Just get 'em to me as soon as you can.
Just get 'em to me as soon as you can.,What happened?
"I was trying to use the phone. I justï¿½I just got jostled a little, that's it.",Who hit you?
Huh!,It's not lupus.
Is that good?,Does it feel good?
Sick.,"No, I'm just going through a bit of withdrawal. I'm trying to survive on one a day for the next few days."
No. Fix him.,It's not lupus. He broke his arm.
"Or it is lupus, and he was in a fight.",He was in a jostle.
"'Cause if he admits he was in a fight, then he goes to the hole.",That's why he'd lie to the guards. He's got no reason to lie to me.
Huh.,"See? There are those eyes again. How about a viral syndrome? Or MRSA? No, that wouldn't chew up the bone that fast. But reaction to meds could. May I?"
May you what? Make me lose my job by showing you a Patient file? But why don't you assume no recent meds?,How long can I assume that he's been smoking? Based on his yellow fingers.
You're thinking lung cancer. Metastatic. I'll x-ray him on Friday. We share a traveling x-ray maParkne with two other clinics.,I'm out of here on Friday.
He's not.,"Well, how about! if he throws a clot and strokes out, you can use the x-ray to do the autopsy. Start him on blood thinners."
Very interesting practice you must've run. No need for tests. No need for proof. Where are you going?,To the proof store.
You were right about Nicole.,About me not caring? I thought so.
It wasn't her mom. It was her. She doesn't wanna talk to me.,"Listen, I'm trying to listen to your lungs, not your self-pity. Cancer can wait. Hey, heading out to the yard?"
Mm-hmm.,You mind trying to find me a cricket?
The ol' swap trick? You don't think that will piss off your cellie Even more when he figures it's a different bug?,"I'll dress 'em the same, like in Vertigo."
"Well, I'll try, but they spray so much pesticide I'm surprised we're alive.",Good point. Hey. How's it coming?
"It ain't. The Confederates be giving themselves spankin' new tats. They putting a claim on all of my Vicodin. Now, I love you and all, my brother, but not as much as I love my gang of crazy, roided-out Nazi bitches.",Now try an inch to the left. Hear the difference?
Yeah!,It's called an acoustical shadow. It means he's got a tumor.
How did you find that without a stethoscope? I didn't Even know you could do this!,Start the blood thinners.
No.,Yeah
All you've proven is there's an anomaly in his chest.,Which means your initial diagnosis could still be right?
Which apparently really bugs you. I could do a clotting test.,That's! that's a good idea.
"Are you really leaving medicine? What are you gonna do? You know, for someone who asks as Many favors as you do, you sure don't make any effort to win me over.","Before I went to med school, I thought about getting a Ph.D. in physics. You Ever heard of dark matter? The way galaxies rotate, the motion of the Universe! it means there's six times more stuff than we can detect. It's been theorized but no one's Ever proved it exists."
"So, uh, so you wanna research it? Why?",It's the greatest mystery there is ï¿½ the theory of Everything.
And completely divorced from huManity.,"Well, me and huManity, we got together too young."
Tsk. You have a gift. There is something in this world you are undeniably great at. You can read people. You-you understand them. You gotta go back to medicine.,"Well, if that gift is related to what brought me here, you'll understand if I wanna check the returns policy."
Cool.,"Jiminy didn't Parkrp much last night. If it's a disease, then he's six inches under. But this could also be pesticide poisoning! Which bicarbonate of soda has been used to treat. See? Just so much and no more."
"Jiminy didn't Parkrp much last night. If it's a disease, then he's six inches under. But this could also be pesticide poisoning! Which bicarbonate of soda has been used to treat. See? Just so much and no more.","Mm! This is where you say ""thank you."" Or I say thank you for not killing me. Thank you."
Hey. The x-ray didn't show any tumors. The acoustical shadow was just a lipoma. I'm thinking ï¿½ you all right?,I'm fine.
Ibuprofen?,It's not gonna help.
You can look at the Patient file if you want.,You trust me?
Any reason I shouldn't?,"You're really not good at reading people, are you? Or buildings."
People are compliCated. And people change.,"Not that much to the first, and not at all to the second. But if it'll get me the file!"
"If we add ""clotting disorder"" to the symptoms, it's gotta be a toxin.",This guy's the only one with symptoms. It's either gotta be his cell or his work station.
The laundry room. So maybe a solvent or detergent?,Can you get me an escort to gather samples?
Dr. Adams. Why does this Man have a file?,You need to get cotton swabsï¿½
ï¿½ but not now. I got something to do.,"You're a prisoner on tier time. By definition, you have nothing to do."
"Call her family, her friends, her work. I'm gonna get through Eventually.","You're moving slower. You're getting weaker. This thing's attacking your bones, your joints, your blood."
"Look, my girl's more important.","She's not your girl, you idiot. She was the girlfriend of a loser drug dealer. Think she's got the self-control to wait around for three years? You think she should? There's a reason we're locked away from nice, normal people. Your life outside is over. Your friends, your girl, Everyone you worked with, they've moved on."
Get out of my House. Get out!,Where's Sykes?
Off at his other clinics.,Great. I'm gonna go through the laundry. Give me some swabs.
No.,What? He yelled at you for letting me see the file? You'll get over it. A few years of therapyï¿½
Why did you lie to me about what you were in for?,"Okay, so I drove a car into a wall instead of stealing some pills. You obviously don't care what I did. You care that I lied to you. You feel jilted."
I feel stupid. It-it doesn't Even make sense. Why are you doing time? You didn't have any priors. You didn't hurt anyone.,I had a bad Lawyer.
I'm sorry. We can't talk about this case anymore.,Uhhh!
We hear you're gonna need an incentive to get all my pills by tomorrow.,"I-I-I can't get all 20, but once I get outï¿½"
"Give us a minute. Why do you think I'm on buspirone? The stress! I get the runs almost Every day. Any sign of weakness, 20 guys would line up to stick a sharpened-up toothbrush in my eye. So as much as my better nature really wants to give you a pass! it just wouldn't be good for my health. See you tomorrow.",I need your help. You have any matches?
"No, that's serious contraband. What are you planning to do?",What about a stick of gum?
Sure.,I'm gonna need that too.
Why?,"Why do I need the pen that you always carry around and nEver write with? This is plan ""B."""
What happened to your cheek?,What is it?
"Hey. Hey, House. You were saying something about how I should, like, uh, swab orï¿½",You're confusing me with the clinic again.
What? You're abandoning me?,"As soon as you leave, I am."
Why? What changed?,"I'm just done. No you, no medicine, no fixing people. Done. Now get out."
No!,Your lips are swelling. Open your mouth. Did you just eat something?
"Meatloaf, potatoes, coffee!",You allergic to anything? Guard! You're going into anaphylactic shock. Guard! Dammit. I gotta make a hole so you can breathe.
"House, get away from him.",He's having an allergic reaction. He can't breathe.
Lie on the ground with your hands behind your head.,"Alvarez, look at what I'm doing! It's a tracheotomy. Come on, Man. You know I'm a doctor."
What's wrong with him?,I have no idea.
I have no idea.,Saving us both from contraband charges. It was great knowing you. I need to be taken into protective custody.
Saving us both from contraband charges. It was great knowing you. I need to be taken into protective custody.,Wow. That was great. I think I really dodged a bullet there.
You don't need P.C.?,"Uh, it's nothing personal. We'll reschedule. Rain check, I promise."
"Uh, it's nothing personal. We'll reschedule. Rain check, I promise.","It wasn't the food. It was the heat. It's mastocytosis. It can be set off by hot liquids, like the coffee he just drank."
It's a possibility. I'll run some blood tests. Thank you.,"No, no! It's almost impossible to confirm masto with blood work. Just give him five aspirin."
"If he has masto, he'll go into anaphylactic shock and won't be able to breathe again.","You do understand the meaning of the word ""confirm."""
It's not.,"Well, what do you have to lose by giving him the aspirin?"
I'm not taking the risk.,"It's his risk to take. If he has another attack and there isn't a doctor in the next cell, he could die! So for one second, will you stop covering your ass and do the test?"
No.,You're a moron and a coward. I'll do it myself.
"Dr. House. Did you get all the Vicodin you needed? I'm not an idiot. That fire, the bruise on your face! I talk to prisoners. I know about exit taxes. You're clearly getting squeezed.",I need 20. And let me back into the clinic when Sykes is gone.
We'll take care of Nick.,You can't if you're not willing to doï¿½
"Well done. If knew if you'd learned nothing else in here, you'd learned the smart thing is to fall in line.",You're absolutely right.
Come on. Come on!,Thanks for getting me to the clinic.
Take him out.,C.O.! We have a little pRoblem here!
"I need backup, I need backup! We got a big fight here.",Alvarez!
Hey! Sit down! Back off.,Where's the aspirin?
"House, open up! This is a direct order!","Yeah, it's always a direct order. Eight months. Haven't heard an indirect order in here."
"They're gonna revoke your parole. They're gonna charge you with extra crimes. You'll be here six more months, minimum!",Sorry. Distracted. You were saying?
"I checked your file. You didn't have a bad Lawyer. You had no Lawyer. You took the first deal they offered you, because you wanted to punish yourself. Do you think getting beaten up, you think saving this one guy will wipe your slate clean?",No.
Then why are you doing this?,"'Cause I have a gift. Once you drink this, you should get an attack almost immediately. That is, if I'm right."
You just bought yourself months in solitary. Was it really worth it?,"If I'm wrong, no, it wasn't."
No! No! No! Get the cup! Get the cup!,Just drink it! Drink it!
Yes. Now shut up and let's see if he has an attack.,"Come on, just a little more time."
"Get up, House.",Must be some mistake. I specifically requested my wakeup startle three hours from now.
Some VIP visitor. Dean of Medicine from your old hospital.,I've had dreams about this. I'm going to assume this is another one.
Get up.,I can refuse to see any visitor I want. Tell the Dean that I don't want to see her.
He said you'd say that.,He?
He?,What's the hiring policy over there? All ass based?
I can get you out of here.,Not unless that file has a file in it.
Judge's order for your immediate release.,I had eight months added to my sentence two months ago. The math is pretty basic.
"We have a crisis. Which, is good news for you. You're out tonight on conditional parole. The condition being that you're employed by me, at PPTH.","No, thanks. You think it's a good idea for me to go right back to my old life? For either of us?"
"And it only has 12 hours left. No pulse, no body. No ability to answer questions. It's your perfect Patient.","I did pay for the room for the whole week, but!"
"Donor's an 18-year-old college kid back from Hofstra. Goes to a homecoming party with his buddies, hops on his motorcycle, ends up an organ donor. Asystole in the E.R. No pulse. No blood circulating. His heart, liver, kidneys were all toast. Surgeons had the recipient on the table when they realized the lungs had increased airway resistance. The team closed her up, put the lungs in suspended animation. Buys 24 hours to fix it, 12 of which have passed. We still have no clue what's wrong.","Nice painting. Blues and greens. Calming, but with a hint of nurturing. Totally offsets the stench of suffering and death. Where's my Patient? We need to not talk."
ICU isolation room. The transplant team will meet you there with updates from the past two hours.,Great. Take this.
How about you drop it in your office?,"I completely understand and, almost respect your desire to appear to be Dean of Medicine, given that your title is Dean of Medicine. On the other hand! Seriously?"
"Get this straight. You break the law, you go back to jail. Scam extra Vicodin, back to jail. Flout my authority, make the hospital look bad, back to jail. I own you.","Yes, massa."
"See, that, would be an example.",When did Cuddy leave?
She gave her notice the day after your incident. Took a jobï¿½,Don't need the details.
Ortho needed more space. You're this way.,Where's my stuff?
No idea.,What about my team?
"Pathetic. The first thing you said to me was you don't want your old environment. The fourth thing you said was, ""where's my old environment?"" It's been a year, Taub, Chase, Thirteen all moved on. The world does that sometimes.","No, it doesn't."
Hi.,I'm not interested in another department's sloppy seconds.
I'm not sloppy seconds.,"3:00 a.m. If Foreman had called you in from home, you wouldn't have"
"Yes, I was on call for neurology.","Well, if that were true, you'd be working right now and unavailable to help. Which means that you're hanging out in the hospital pretending to work. Which means you're not just a reject, you're a cowardly reject who was trying to hide her rejectedness from someone."
I am not a reject.,Then go back to neurology.
ARDS secondary to trauma is our leading hypothesis. FiO2 is 93%ï¿½,"Prison! Sorry, I thought I heard Everyone else think that. I was in prison, you see. It was a long time ago, but still, you're curious. NEver was raped, not raped-raped. Well, raped-raped, but not raped-raped-raped. Well, now that we've got that completely behind us."
"Sorry, Dr. House, welcome back.",Is there cake? Any alveolar exudate?
No. The lungs are dry.,"Well it's not ARDS. It's the autumn. Its tick borne disease season. EhrliParkosis causing bronParkalitis. You'll appreciate that I left the ""idiots"" subtextual."
"Blood smear was clear, and we ""idiots"" treated with broad spectrum antibiotics.",Cocaine.
Tox screen was clean.,Dead men don't pee. Tox screen tests for metabolites in the urine. Coke nEver got past the lungs. Also explains the motorcycle crash. Idiots.
Let's get the lungs on treatment.,"Great idea. Unless you're wrong. And by you, I mean me. Then this treatment will burn holes in the lungs. I'd call you idiots again, but at this point I'm starting to doubt whether you understand what I mean by the word. Kato, get Black Beauty and meet me out front. We're gonna find the dead kid's stash."
"Great idea. Unless you're wrong. And by you, I mean me. Then this treatment will burn holes in the lungs. I'd call you idiots again, but at this point I'm starting to doubt whether you understand what I mean by the word. Kato, get Black Beauty and meet me out front. We're gonna find the dead kid's stash.","Since an 18-year-old with organ donor on his license is not a cancer Patient, I'm figuring the recipient is a lifetime member of the Wilson cares too much club."
Excellent deduction.,You're the reason I'm out of the big House. Doesn't quite make up for nEver visitingï¿½
Springing you was Foreman's idea. I wasn't convinced until Simpson failed three times.,It amounts to the same thing. You wanted me back.
"See, I knew you'd over-interpret it.","Strong, emotional reaction. I guess that's what a lifetime membership gets you. How's your wrist?"
"Healed, thank you.",I was wrong. I went to prison. I paid the price.
You're a changed Man.,I said I was wrong. I didn't say I changed. I haven't. Neither have youï¿½
We pRobably shouldn't be turning up unannounced like this. Their son just died.,"Bright side ï¿½ they're pRobably up weeping. Hey, we both assaulted our bosses. It's like we're twins."
I'd really rather not!.,"Okay, I'll go first. My boss dumped me. And yours what? Called you his Parkna doll? Joked about what a crappy deal you got for Manhattan? Assumed you have a huge penis? I have no idea what flavor you are, so I thought I'd just cover the spread."
"My mom's Filipino, Dad's Korean, and my boss grabbed my behind.","Behind what? Oh, yeah, your ï¿½ grabbed your tushy. So now you're pretending to be on call so that your overly protective boyfriend won't find out that you got groped."
"I don't have a boyfriend. It's my parents. If they found out what I've done, they'd be mortified.",Your parents know your call schedule?
I live with them.,Right. No issues there.
I told you my son didn't do cocaine.,Druggies are not known for their honesty. Trust me on this one.
"Hey, take it easy. Steve loved all thatï¿½",Sorry. But we're on a clock.
I think he's about to throw us out.,"Nope. His son is dead. The only way that has any meaning is if we fix the lungs and transplant them. It doesn't matter how much we piss him off as long as we find something. So go back there, piss him off and find something."
I understand that we're in a hurry but maybe he should.,Your son isn't wearing glasses in any of these pictures.
He just got them a couple of weeks ago.,Because he was having headaches?
Because he was having headaches?,Answer the question before answering the door.
"Yeah, he was.",You're right. He was not doing cocaine. He had a brain tumor.
You're right. He was not doing cocaine. He had a brain tumor.,Don't bother. It's for me. Turns out they monitor these monitors.
"Thank you, Officer.",I thought the bracelet was decorative. My aunt had one just like it. Wait a minute.
You're allowed to be at the hospital. You're allowed to go home. That was made clear.,"Dead kid's House was on the way to my apartment. Assuming I got lost, twice."
Those consultants in my office are only costing the hospital 100 bucks Every minute I keep them waiting. Why didn't you just tell me what you were doing?,"I knew you were very busy, being vaguely important."
I might have cleared it with the cops.,"Yeah, it's the word ""might"" that bumps me, but I'll run it by you next time."
"Getting you out of jail was not a popular decision with the board. I need you to solve this, and I need you to do it without making me look like I can't control you. For both our sakes.","Disciplinary hearing should be fun, and the subsequent lingering black mark on your record."
We have to wheel this out to the MRI. We should pRobably leave the body in the bag.,There's a mass in the arm. Analyzing part of this tumor is gonna be quicker than a scan.
There's a mass in the arm. Analyzing part of this tumor is gonna be quicker than a scan.,"So, where's the next job? You worry about what people think of you, and parental secrets. The only way that you don't worry about this hearing is if you don't think there's gonna be one. The only way that happens is you leave Princeton Plainsboro."
I had a video interview with Parkcago yesterday. It went well.,"My money's on rhabdomyosarcoma. Parkcago has a great program, and you're a dumbass."
"My money's on rhabdomyosarcoma. Parkcago has a great program, and you're a dumbass.","Running away from home is a time-honored tradition, but you're not doing it to flee your parents. You're doing it to protect them. That's an insult to Everything teen prostitutes have worked for. Time to grow up and come clean."
We don't have any choice. The nitro is dropping the blood flow to your kidneys. They're shutting down.,This is so our song.
My Patient is running out of time.,Not worried. My team is confirming the diagnosis as we speak.
I want to be understanding. It's your first day backï¿½,See? I smell empathy.
See? I smell empathy.,You should remember all the good times. Like when I gave you that necklace that you just dumped n the ocean. What were you thinking?
"House, I haven't forgotten our friendship. For Every good memory, there's a slew of bad ones.",Come in.
Paraneoplastic syndrome's out. The lung donor didn't have cancer.,Tell that to the tumor that I found in his arm.
That mass wasn't a tumor. It was coagulated plasma. E.R. pumped him full of it. I.V. leaked into his arm. I Even did a complete MRI. No cancer anywhere. We've got nothing.,Just 'cause it wasn't a tumor doesn't mean it didn't mess with the lungs. They're reacting to something in the plasma.
But Every unit of plasma can have up to 25 contributing donors. We need to track down all of them.,"Still. It's not as bad as a thousand people going down in a gigantic boat, right? My heart will go on."
No. You can't leave the hospital.,25 donors contributed to the plasma that the lung donor got. My team cannot track down and interview them all in six hours.
"I vouch for you to the cops, you take some parole-violating detour celebrating your freedom, justified, of course, by some absurd theory connecting it to the case.",You asked me to ask you. Was that just so you'd enjoy saying no?
"I don't trust you, House. I can't.",Actually you have to.
Not absolutely. Not outside the walls of this hospital.,"Fine, then give me a team I don't have to put in quotation marks."
Use the people already on the case.,"Give me Chase, Taub, Thirteen."
We don't have the money to pay them.,"Oh, yeah. It went to interior designers, I understand."
You only have Park because she's on neurology's tab. You are making minimum wage.,I am?
"Get out of my office, please.",What do you got?
Number three went to a baseball game the day before he donated.,Boredom is not transmissible.
"He ate a bag of peanuts, and peanut proteins would be. If our donor had an allergy, it could explain the lungs.",Nice.
What?,Nothing.
Don't start that.,Start what? I'm enjoying our conversation. The repartee.
There was no repartee.,That was repartee.
I'm not doing this for you. I'm doing it to help my Patient.,It's just good to hear your voice.
Goodbye.,That's my whiteboard. I need it. And he really doesn't care how the cast comes off.
Dr. Foreman warned us that you'd try something. Told me to call him if you did. I'd like to do that.,I'll take this outside.
I'll take this outside.,Yeah.
Donor six traveled to Thailand around Khorat. Region was endemic with dengue fEver.,Good.
Good.,Yeah.
Alcohol.,He'd have to be pretty drunk for it to affect a pool of plasma.
"These guys have got that covered. Acute etoh ingestion could haveï¿½ hey, paint around them, they're not hurting anyone]",Who's painting?
"The crew's just starting. Paint fumes didn't cause contamination. But, maybe the old paint did. They scraped off the underpass, pRobably because it contains! lead.",Lead.
How's the chelation going?,REverend Moon started it about 20 minutes ago. You missed lunch tracking down the plasma donors. Got you a Reuben from the cafeteria.
Thanks. Lead exposure's a nice diagnosis. I hope it pays off.,It will.
"I appreciate your confidence, but she's not reallyï¿½","Oh, no, she could die. But technically it will still pay off. Even if your Patient dies, someone will get the lungs."
We killed part of the lung.,Page Dr. Pinto stat to the cath lab.
We're going to the cath lab? Are you thinking that maybeï¿½,What? Who? One dead lobe means four alive ones. It means enough to transplant with a side order of dead tissue that we can test.
It makes sense. Unlike you stealing my phone.,"You have unlimited texting. Until your parents know, you will nEver see that punch for what it really was. Your February 4th. Sri Lankan Independence Day."
I told you I'm Korean and Filipino.,And I told you I wasn't listening. By my actions.
Violence isn't an appropriate way to handle conflict. It was a moment of weakness.,"You barked at me, picked a fight with a painting crew. Maybe it's time to recognize it's not a character flaw. Maybe it's your character."
"You barked at me, picked a fight with a painting crew. Maybe it's time to recognize it's not a character flaw. Maybe it's your character.",Pinto!
House.,Embrace your inner bitch.
Embrace your inner bitch.,So why did chelation make the lungs worse?
So why did chelation make the lungs worse?,We got about five minutes till Pinto gets back. Give me a hand with this.
I tracked down another bag of plasma from the batch they used on the donor. Negative for all our other exposures.,"Sarcoidosis could be inflamed by the treatment. I am a cripple, in need of assistance."
"Um, transplant team ran an A.C.E. Negative.",It's mine. And it's your job.
My job is to assist you in curing the lungs.,This chair will help me do that.
What if the scrapings from the bridge contained other heavy metals like barilium or asbestos?,Chelation for lead wouldn't have made them worse.
Chelation for lead wouldn't have made them worse.,But! maybe the pRoblem isn't a heavy metal from outside. It's inside. But it's not leaving the body like it's supposed to. It's stuck. Iron. The donor had hemosiderosis.
His body wasn't disposing of iron. Massive amounts choke up the lungs. Then our chelation would wreak havoc because it picks up too much stuff.,Go stain the dead lung tissue for iron.
Go stain the dead lung tissue for iron.,"I'm sorry, young lady, I simply will not help you steal this chair."
"I'm sorry, young lady, I simply will not help you steal this chair.",Pinto.
"House, the nurses saw you come in.",Enter.
It's a bathroom.,"Ah, explains the hole in this chair."
"Ah, explains the hole in this chair.","God, I missed doors. And air freshener."
"God, I missed doors. And air freshener.",Now go away. I'm waiting for some test results.
My Patient signed a DNR. She's giving up. Looks like someone else will be getting the lungs. Making this yet another interaction with you in which I get nothing.,It's not my fault you can't handle your Patient.
"She said she's done. I spent half an hour trying to change her mind, but she'd made her decision. I accepted that. It's called respect.","And what's after respect? You find another angle. You hold her hand, get the sister to beg, stick your fingers in your ears, pretend you can't hear. You do whatEver it takes."
"Biopsy rEvealed, white blood cell inflitrates.","Infection was right, after all."
"Infection was right, after all.",Fresh fruit in prison is usually Parkcken.
Why aren't you more alarmed? We're running out of time.,"Aahh, she's dying! Were you able to figure out what was wrong while I was screaming?"
Infection was the first thing that the transplant team treated for.,"Which would have worked if the bacteria had been out in the open. If they're hiding inside the lung cells! I'm thinking brucella. And to wipe that out, you need special ops. An intact immune system."
But that's what white blood cells are.,"They're part of the immune defense force, like the infantry. But those lungs need the Air Force and the Marines, antibodies raining down from above."
"They're part of the immune defense force, like the infantry. But those lungs need the Air Force and the Marines, antibodies raining down from above.",Antibiotics and IVIG.
Did you use metaphors for your old team? Or do you just think I'm particularly stupid?,"No, they were stupid too."
Hi.,Case is under control. It's me time.
Vanessa's gonna do the lung slurry. You were right to push me. I needed that. Thank you.,So we're good?
"It was good advice. Just, came here to say thank you.","I like you. I have fun with you. And, if you can honestly say that you don't like me, you don't have fun with me, I can accept that. But, just do whatEver you have to do to get over this. You can punch me in the face, kick me in the nuts. Either/or. Both seems excessive."
"The thing is, House! I don't like you.",When did the discoloration start?
A few minutes after I started the IVIG.,Means we're wrong about infection.
"And by we, you mean you. You screwed up the lungs.","Wrong about autoimmune, not cancer, heavy metals, genetic issues! Increase peep."
Already maxed out. We're close to the point of no return. The lungs will nEver be viable for transplant.,I need! I need ideas.
IgA nephropathy.,That's already ruled out.
Lupus.,No--o.
Maybe we're just out of time.,We're out of time when we're out of time. When they die or she dies. Keep them stable as long as you can. I need to think.
Make a wish. Make a wish.,The lungs are a smoker. You of all people should know better.
But the kid nEver smoked.,He played poker. Who plays poker without cigars? Even if he didn't light up himself! It was a rainy night. The windows were closed.
